FaceID,X,Y,Z,U_std,V_std,U_fast,V_fast,U_diff,V_diff,PixelX_std,PixelY_std,PixelX_fast,PixelY_fast,URegion_std,URegion_fast
49,-0.500888608,0.072476851,0.862471859,0.8337396633088124,0.523090343558678,0.8337396633088124,0.52313093035619,0.0,4.0586797511954487e-05,265,83,265,83,other,other
50,-0.389009857,0.140616971,0.910438465,0.8142664659471732,0.5449086070146514,0.8142664659471732,0.5452089650394506,0.0,0.0003003580247992188,259,86,259,86,other,other
51,-0.283877888,0.068322357,0.956423233,0.7959208896603616,0.5217646368110905,0.7959208896603616,0.5217986185588886,0.0,3.398174779811747e-05,253,82,253,82,other,other
52,-0.392928376,-7.2e-09,0.919569079,0.8142689851871003,0.49999999770816883,0.8142689851871003,0.49999999770816883,0.0,0.0,259,79,259,79,other,other
53,-0.500888574,-0.072476875,0.862471877,0.8337396571745832,0.476909648787147,0.8337396571745834,0.4768690619492162,2.220446049250313e-16,4.058683793078943e-05,265,75,265,75,other,other
54,-0.600646334,-0.144953925,0.786264803,0.8538251882882993,0.4536966049985576,0.8538251882882993,0.453367216093969,0.0,0.00032938890458855674,272,72,272,72,other,other
55,-0.686143488,-0.213029769,0.695575611,0.8739135666697876,0.4316668677405735,0.8739135666697876,0.4305974317009518,0.0,0.001069436039621674,278,68,278,68,other,other
56,-0.754076058,-0.273291023,0.597228027,0.8933910720319402,0.41188779920888646,0.8933910720319402,0.40956607252361243,0.0,0.002321726685274028,284,65,284,65,other,other
57,-0.721171719,-0.392126932,0.57109353,0.893401144991233,0.37173939873621276,0.893401144991233,0.3643152839325511,0.0,0.007424114803661674,284,59,284,57,other,other
58,-0.660036541,-0.341613676,0.669067904,0.873918547035559,0.38902656406619057,0.873918547035559,0.3843005652298215,0.0,0.004725998836369094,278,61,278,61,other,other
59,-0.582556391,-0.281234736,0.76258447,0.853825191596291,0.4092560475625728,0.853825191596291,0.40671513328319914,0.0,0.0025409142793736406,272,65,272,64,other,other
60,-0.490666695,-0.213029352,0.844905137,0.833736863717753,0.43166700365326593,0.833736863717753,0.4305975740747962,0.0,0.0010694295784697272,265,68,265,68,other,other
