FaceID,X,Y,Z,U,V,PixelX,PixelY,URegion
0,0.150080241,0.807048369,0.571094433,0.7090998150859227,0.7989363523978629,226,127,other
1,0.120930998,0.733295712,0.669068825,0.7215407588764127,0.7620188972154113,230,121,other
2,0.026891632,0.801619526,0.597229416,0.7428385188413947,0.7960279733209346,236,126,u075
3,-0.106096205,0.781569116,0.614730276,0.7772005632053314,0.785580375224608,247,124,other
4,-0.009428109,0.718389651,0.695577041,0.7521571129869129,0.7551204810865718,239,120,u075
5,0.087449778,0.640949407,0.762585336,0.7318282215743931,0.7214591714150254,233,114,u075
6,0.050977972,0.532480266,0.844905919,0.7404089056791424,0.6787399450080105,236,107,u075
7,-0.047752128,0.616040106,0.786266063,0.7596540650616547,0.7112640843356948,242,113,u075
8,-0.147509677,0.688518225,0.710058835,0.7825996184246405,0.7417384871747771,249,117,other
9,-0.242236506,0.745513065,0.620912026,0.8092007117608179,0.7677954794625269,258,122,other
10,-0.373568953,0.694660422,0.614730132,0.8369079905928402,0.7444453523002486,266,118,other
11,-0.285370264,0.64372375,0.710058833,0.8108195252344763,0.7226114107440631,258,114,other
12,-0.18759385,0.577343518,0.794659052,0.7868959603372944,0.6959106441658002,251,110,other
13,-0.085855107,0.498767918,0.862472878,0.7657911016260416,0.6662139973426336,244,105,u075
14,0.013523353,0.413422149,0.91043904,0.7476361402414806,0.6356666162568428,238,101,u075
15,-0.022745379,0.291095547,0.956423562,0.7537842619259747,0.5940197567158538,240,94,u075
16,-0.121423145,0.373694888,0.919569764,0.7708944889050054,0.6219092882900685,245,98,other
17,-0.223715264,0.453973627,0.862472856,0.7903927117453523,0.6499939722280835,252,103,other
18,-0.323472944,0.526451439,0.786265945,0.8121179480574984,0.6764778050675166,259,107,other
19,-0.414637956,0.586726722,0.695576825,0.8355540276041815,0.6995837160554411,266,111,other
20,-0.492942974,0.632712063,0.597229161,0.8598213782100927,0.7180583235853081,274,114,other
21,-0.595794789,0.564694641,0.571094154,0.8783684792102194,0.6910060516974296,280,109,other
22,-0.528861431,0.52216169,0.669068574,0.8564566830599966,0.6748742522150429,273,107,other
