,x,y,z
337,-20,-12,-32
338,-12,-12,-32
339,-4,-12,-32
340,4,-12,-32
341,12,-12,-32
342,20,-12,-32
343,28,-12,-32
344,-28,-4,-32
345,-20,-4,-32
346,-12,-4,-32
347,-4,-4,-32
348,4,-4,-32
349,12,-4,-32
350,20,-4,-32
351,28,-4,-32
352,-28,4,-32
353,-20,4,-32
354,-12,4,-32
355,-4,4,-32
356,4,4,-32
357,12,4,-32
358,20,4,-32
359,28,4,-32
360,-28,12,-32
361,-20,12,-32
362,-12,12,-32
363,-4,12,-32
364,4,12,-32
365,12,12,-32
366,20,12,-32
367,28,12,-32
368,-28,20,-32
369,-20,20,-32
370,-12,20,-32
371,-4,20,-32
372,4,20,-32
373,12,20,-32
374,20,20,-32
375,28,20,-32
376,-28,28,-32
377,-20,28,-32
378,-12,28,-32
379,-4,28,-32
380,4,28,-32
381,12,28,-32
382,20,28,-32
383,28,28,-32
